event_date,gri,volume_score,severity_score,concentration_score,total_events,avg_goldstein,gri_armed_conflict_,gri_sanctions_finan,gri_technology_cont,gri_trade_policy_ac,gri_resource_energy,gri_regulatory_sove,gri_political_trans,gri_institutional_a
2022-03-07,62.9,51.29290778023565,84.91692208412978,41.9927298952192,3569,-6.983384416825956,72.2,75.2,,70.7,,62.9,63.8,
2022-03-08,64.6,57.37415343332108,84.35377295367651,39.401870787197616,4083,-6.870754590735302,74.5,77.9,,74.1,,63.5,69.3,
2022-03-09,65.7,58.72812972032759,84.29643166414955,42.36631382885842,4147,-6.85928633282991,75.9,76.2,,72.4,,62.9,67.7,
2022-03-10,62.8,52.17321699661921,84.39447196505917,40.73074650617304,3676,-6.878894393011835,72.3,75.2,,71.7,,64.0,65.1,
2022-03-11,64.5,54.78684992651867,84.36658703287243,44.11082793855206,3835,-6.873317406574486,74.7,72.2,,72.9,,59.5,64.8,
2022-03-12,59.6,41.789635353424686,84.34509972423385,45.6557688871549,2868,-6.8690199448467695,68.4,68.8,,64.7,,55.5,58.0,
2022-03-13,60.9,42.58377168235078,84.86909230357742,49.76039300363627,2886,-6.973818460715487,70.0,65.8,,66.2,,52.3,57.1,
2022-03-14,66.2,57.316252286806574,84.64322413213779,47.21625473973745,3947,-6.928644826427556,77.0,72.4,,71.8,,58.0,63.3,
2022-03-15,67.9,63.03193795002933,84.6310994329205,44.29149982304096,4420,-6.926219886584102,79.1,75.9,,71.3,,70.7,68.8,
2022-03-16,65.1,57.65856350489761,84.32537113951291,41.771396271570595,4105,-6.865074227902584,75.6,73.2,,72.5,,63.1,69.9,
2022-03-17,64.3,55.1804626868455,84.24675091437977,42.87877152852019,3927,-6.849350182875955,74.7,71.1,,67.3,,72.3,68.4,
2022-03-18,62.2,49.62195214558727,84.69311303273035,42.32860414182271,3519,-6.938622606546069,71.9,71.5,,66.0,,77.7,64.6,
2022-03-19,59.2,39.100338018839096,84.64889444079398,48.363431354254224,2681,-6.929778888158796,67.4,67.3,,64.7,,55.4,54.9,
2022-03-20,58.3,36.64365129964537,84.47757019630373,49.4487442079809,2482,-6.895514039260748,66.5,66.5,,63.4,,61.2,52.6,
2022-03-21,63.4,51.61399057640807,84.7306454320264,44.19706914063832,3597,-6.946129086405283,73.2,70.7,,71.4,,65.8,63.7,
2022-03-22,64.6,54.829273871680314,84.43546835045585,44.62696919484973,3842,-6.887093670091171,75.0,70.3,,68.4,,67.5,66.6,
2022-03-23,64.2,54.20815457193965,84.44412557823435,43.48602785669938,3798,-6.88882511564687,74.4,72.9,,67.3,,70.9,65.8,
2022-03-24,64.9,57.29626102686179,84.34190653330143,41.465950609747566,4031,-6.868381306660285,75.3,75.8,,70.4,,75.3,67.7,
2022-03-25,63.6,53.49819747908777,84.56126187321968,41.782198657006084,3787,-6.912252374643934,73.6,74.1,,66.2,,68.9,67.3,
2022-03-26,59.3,40.28124308325987,84.64741326254176,46.884839532196104,2819,-6.929482652508352,67.9,67.0,,62.8,,59.0,57.6,
2022-03-27,57.6,34.54631868483618,84.66288278111247,49.56325591408536,2399,-6.932576556222491,65.4,64.8,,60.3,,59.0,53.6,
2022-03-28,62.9,50.65710883407223,84.52138529237476,44.37352778631005,3546,-6.904277058474953,72.7,69.8,,66.0,,71.3,64.4,
2022-03-29,64.7,55.1273093313535,84.33544843168526,44.706471531590026,3847,-6.867089686337055,75.3,69.2,,66.6,,87.5,65.9,
2022-03-30,65.5,57.06609409343743,84.4868263543391,44.361362266444566,3983,-6.89736527086782,76.3,71.6,,66.7,,74.8,67.4,
2022-03-31,65.6,56.99331718701748,84.6448903422387,44.73323099632743,3973,-6.928978068447739,76.2,70.8,,71.4,,60.9,67.3,
2022-04-01,63.9,52.60182454723961,84.41164914403505,45.2973941495359,3715,-6.882329828807011,74.0,68.5,,66.0,,58.0,66.5,
2022-04-02,58.1,37.011889519342446,84.96563936429894,46.45234160653103,2663,-6.993127872859789,66.3,65.1,,65.5,,57.3,56.1,
2022-04-03,58.7,37.123529213520214,84.78279393065206,49.89775431290898,2624,-6.956558786130413,66.9,65.0,,64.0,,53.9,53.6,
2022-04-04,63.0,49.89201892601473,84.60185443852174,46.14365761132767,3518,-6.920370887704348,73.0,67.6,,65.7,,66.9,63.3,
2022-04-05,63.0,52.10777492329932,84.30730294891052,42.073691443391006,3705,-6.861460589782103,72.9,69.8,,70.0,,87.5,65.0,
2022-04-06,64.4,55.953699349222155,84.38622025373853,41.33860362520046,3976,-6.8772440507477075,74.6,73.1,,68.3,,87.5,68.0,
2022-04-07,64.4,55.48260380091143,84.33767946344433,42.33954712738273,3925,-6.867535892688866,74.5,73.8,,66.5,,87.5,66.0,
2022-04-08,63.9,53.795951500893686,83.9230057454119,44.040414285631776,3814,-6.78460114908238,73.9,71.4,,66.7,,68.1,65.2,
2022-04-09,57.6,35.75585122946177,84.73935853543907,46.8556131554347,2624,-6.947871707087813,65.3,66.2,,60.3,,53.5,55.8,
2022-04-10,58.1,34.95797131576457,84.5577578023013,51.378599321296356,2507,-6.911551560460261,65.9,64.1,,61.6,,56.8,52.0,
2022-04-11,62.9,50.52427027626065,84.68625198347097,44.13385294059743,3607,-6.937250396694194,72.7,69.1,,70.9,,57.3,64.6,
2022-04-12,64.7,54.579955708446036,84.38568236472165,45.73207945419709,3877,-6.877136472944329,75.1,67.5,,66.1,,69.8,66.4,
2022-04-13,65.6,56.74994321488532,84.45660669320407,45.74757047740121,4018,-6.891321338640816,76.5,68.4,,69.2,,60.9,67.6,
2022-04-14,66.1,57.15639066660423,84.42685007331227,47.52792574941299,4019,-6.885370014662452,77.0,67.6,,67.9,,64.3,65.7,
2022-04-15,62.8,48.85933746008074,84.27340342039912,47.903125610265946,3486,-6.854680684079824,72.9,65.7,,65.1,,61.3,61.7,
